id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
39,"Directions (31-40): Refer to Passage 4. --- The passage suggests that Alexander Fleming's discovery was:","The result of many years of dedicated research","A deliberate invention","An accidental finding","A failed experiment","c","Difficult","Reading Comprehension"
40,"Directions (31-40): Refer to Passage 4. --- What two actions are suggested to combat antibiotic resistance?","Using more antibiotics and developing new viruses","Responsible prescribing and developing new treatments","Lowering the price of drugs and increasing their availability","Banning all antibiotics and relying on natural remedies","b","Easy","Reading Comprehension"
41,"Directions (41-50): Passage 5: The gig economy refers to a labor market characterized by the prevalence of short-term contracts or freelance work, as opposed to permanent jobs. Driven by digital platforms that connect workers with tasks, this model offers flexibility for workers and lower labor costs for companies. Workers can choose their own hours and projects, from driving for a ride-sharing service to freelance graphic design. However, this flexibility often comes at a price. Gig workers typically lack the benefits and protections of traditional employment, such as health insurance, paid sick leave, and retirement savings. The classification of these workers—whether they are independent contractors or employees—is a subject of intense legal and regulatory debate, with significant implications for the future of work. --- What is the defining characteristic of the gig economy?","High salaries and generous benefits","Permanent, long-term jobs","Prevalence of short-term, freelance work","A focus on manual labor only","c","Easy","Reading Comprehension"
42,"Directions (41-50): Refer to Passage 5. --- What is a primary driver of the gig economy?","Government regulations","Labor unions","Digital platforms","Traditional corporations","c","Easy","Reading Comprehension"
43,"Directions (41-50): Refer to Passage 5. --- What is a major advantage of the gig economy for workers?","Job security","Comprehensive benefits","Flexibility in work hours and projects","A guaranteed minimum wage","c","Easy","Reading Comprehension"
44,"Directions (41-50): Refer to Passage 5. --- What is a significant drawback for gig workers mentioned in the passage?","Lack of interesting work","Lack of flexibility","Lack of benefits and protections","Excessive regulation","c","Moderate","Reading Comprehension"
45,"Directions (41-50): Refer to Passage 5. --- The word 'implications' in the final sentence most nearly means:","Legal arguments","Initial causes","Benefits and advantages","Potential consequences or effects","d","Moderate","Reading Comprehension"
46,"Directions (41-50): Refer to Passage 5. --- The 'intense legal and regulatory debate' is about:","The prices charged by gig economy platforms","The classification of gig workers as contractors or employees","The technology used by digital platforms","The competition between gig economy companies","b","Moderate","Reading Comprehension"
47,"Directions (41-50): Refer to Passage 5. --- What can be inferred about traditional employment?","It offers less flexibility than gig work.","It is a new and growing trend.","It does not provide any benefits to workers.","It is less common than freelance work.","a","Difficult","Reading Comprehension"
48,"Directions (41-50): Refer to Passage 5. --- The passage presents the gig economy in a ________ manner.","purely positive","purely negative","balanced and neutral","confused and unclear","c","Moderate","Reading Comprehension"
49,"Directions (41-50): Refer to Passage 5. --- Which of the following is NOT an example of a benefit traditional employees might have?","Paid sick leave","Health insurance","Retirement savings","The ability to choose their own projects","d","Easy","Reading Comprehension"
50,"Directions (41-50): Refer to Passage 5. --- What is the main purpose of the passage?","To encourage people to join the gig economy","To criticize companies that use freelance workers","To provide an overview of the gig economy's pros and cons","To predict the end of traditional employment","c","Easy","Reading Comprehension"
